state,year,urbanicity
AL,2020,0.5770000000000001
AK,2020,0.649
AZ,2020,0.893
AR,2020,0.555
CA,2020,0.9420000000000001
CO,2020,0.86
CT,2020,0.863
DE,2020,0.826
DC,2020,1.0
FL,2020,0.915
GA,2020,0.741
HI,2020,0.861
ID,2020,0.6920000000000001
IL,2020,0.8690000000000001
IN,2020,0.7120000000000001
IA,2020,0.632
KS,2020,0.723
KY,2020,0.5870000000000001
LA,2020,0.715
ME,2020,0.386
MD,2020,0.856
MA,2020,0.9129999999999999
MI,2020,0.735
MN,2020,0.7190000000000001
MS,2020,0.46299999999999997
MO,2020,0.695
MT,2020,0.534
NE,2020,0.73
NV,2020,0.941
NH,2020,0.583
NJ,2020,0.938
NM,2020,0.745
NY,2020,0.8740000000000001
NC,2020,0.667
ND,2020,0.61
OH,2020,0.763
OK,2020,0.6459999999999999
OR,2020,0.805
PA,2020,0.765
RI,2020,0.9109999999999999
SC,2020,0.679
SD,2020,0.5720000000000001
TN,2020,0.662
TX,2020,0.8370000000000001
UT,2020,0.898
VT,2020,0.35100000000000003
VA,2020,0.7559999999999999
WA,2020,0.8340000000000001
WV,2020,0.446
WI,2020,0.6709999999999999
WY,2020,0.62
AL,2010,0.59
AK,2010,0.66
AZ,2010,0.898
AR,2010,0.562
CA,2010,0.95
CO,2010,0.862
CT,2010,0.88
DE,2010,0.833
DC,2010,1.0
FL,2010,0.912
GA,2010,0.7509999999999999
HI,2010,0.919
ID,2010,0.706
IL,2010,0.885
IN,2010,0.7240000000000001
IA,2010,0.64
KS,2010,0.742
KY,2010,0.584
LA,2010,0.732
ME,2010,0.387
MD,2010,0.872
MA,2010,0.92
MI,2010,0.746
MN,2010,0.733
MS,2010,0.493
MO,2010,0.7040000000000001
MT,2010,0.5589999999999999
NE,2010,0.731
NV,2010,0.9420000000000001
NH,2010,0.603
NJ,2010,0.9470000000000001
NM,2010,0.774
NY,2010,0.879
NC,2010,0.6609999999999999
ND,2010,0.599
OH,2010,0.779
OK,2010,0.662
OR,2010,0.81
PA,2010,0.787
RI,2010,0.907
SC,2010,0.6629999999999999
SD,2010,0.5670000000000001
TN,2010,0.664
TX,2010,0.847
UT,2010,0.9059999999999999
VT,2010,0.389
VA,2010,0.755
WA,2010,0.84
WV,2010,0.48700000000000004
WI,2010,0.7020000000000001
WY,2010,0.648
AL,2000,0.5539999999999999
AK,2000,0.6559999999999999
AZ,2000,0.882
AR,2000,0.525
CA,2000,0.9440000000000001
CO,2000,0.845
CT,2000,0.877
DE,2000,0.8009999999999999
DC,2000,1.0
FL,2000,0.893
GA,2000,0.716
HI,2000,0.915
ID,2000,0.664
IL,2000,0.878
IN,2000,0.708
IA,2000,0.611
KS,2000,0.7140000000000001
KY,2000,0.5579999999999999
LA,2000,0.726
