year,state,unemployment_pct,unemployment_pct_1,unemployment_pct_4
1976,AL,0.067,,
1977,AL,0.071,0.00399999999999999,
1978,AL,0.064,-0.006999999999999992,
1979,AL,0.07200000000000001,0.008000000000000007,
1980,AL,0.08800000000000001,0.016,0.021000000000000005
1981,AL,0.107,0.01899999999999999,0.036000000000000004
1982,AL,0.14,0.033000000000000015,0.07600000000000001
1983,AL,0.138,-0.0020000000000000018,0.066
1984,AL,0.113,-0.02500000000000001,0.024999999999999994
1985,AL,0.096,-0.017,-0.010999999999999996
1986,AL,0.096,0.0,-0.04400000000000001
1987,AL,0.08199999999999999,-0.014000000000000012,-0.05600000000000002
1988,AL,0.073,-0.008999999999999994,-0.04000000000000001
1989,AL,0.07,-0.002999999999999989,-0.025999999999999995
1990,AL,0.068,-0.0020000000000000018,-0.027999999999999997
1991,AL,0.073,0.0049999999999999906,-0.008999999999999994
1992,AL,0.075,0.0020000000000000018,0.0020000000000000018
1993,AL,0.07200000000000001,-0.002999999999999989,0.0020000000000000018
1994,AL,0.062,-0.010000000000000009,-0.006000000000000005
1995,AL,0.059000000000000004,-0.0029999999999999957,-0.013999999999999992
1996,AL,0.052000000000000005,-0.006999999999999999,-0.022999999999999993
1997,AL,0.049,-0.0030000000000000027,-0.023000000000000007
1998,AL,0.045,-0.0040000000000000036,-0.017
1999,AL,0.047,0.0020000000000000018,-0.012000000000000004
2000,AL,0.046,-0.0010000000000000009,-0.006000000000000005
2001,AL,0.052000000000000005,0.006000000000000005,0.0030000000000000027
2002,AL,0.059000000000000004,0.006999999999999999,0.014000000000000005
2003,AL,0.06,0.000999999999999994,0.012999999999999998
2004,AL,0.055999999999999994,-0.0040000000000000036,0.009999999999999995
2005,AL,0.044000000000000004,-0.01199999999999999,-0.008
2006,AL,0.04,-0.0040000000000000036,-0.019000000000000003
2007,AL,0.040999999999999995,0.000999999999999994,-0.019000000000000003
2008,AL,0.057999999999999996,0.017,0.0020000000000000018
2009,AL,0.10099999999999999,0.043,0.05699999999999999
2010,AL,0.10400000000000001,0.0030000000000000165,0.064
2011,AL,0.096,-0.008000000000000007,0.05500000000000001
2012,AL,0.08199999999999999,-0.014000000000000012,0.023999999999999994
2013,AL,0.073,-0.008999999999999994,-0.027999999999999997
2014,AL,0.067,-0.0059999999999999915,-0.037000000000000005
2015,AL,0.061,-0.006000000000000005,-0.035
2016,AL,0.059000000000000004,-0.001999999999999995,-0.022999999999999986
2017,AL,0.045,-0.014000000000000005,-0.027999999999999997
2018,AL,0.039,-0.005999999999999998,-0.028000000000000004
2019,AL,0.032,-0.006999999999999999,-0.028999999999999998
2020,AL,0.064,0.032,0.0049999999999999975
2021,AL,0.034,-0.03,-0.010999999999999996
2022,AL,0.025,-0.009000000000000001,-0.013999999999999999
2023,AL,0.025,0.0,-0.006999999999999999
1976,AK,0.076,0.051,0.011999999999999997
1977,AK,0.098,0.022000000000000006,0.064
1978,AK,0.107,0.008999999999999994,0.08199999999999999
1979,AK,0.091,-0.016,0.066
1980,AK,0.095,0.0040000000000000036,0.019000000000000003
1981,AK,0.092,-0.0030000000000000027,-0.006000000000000005
1982,AK,0.1,0.008000000000000007,-0.006999999999999992
1983,AK,0.10099999999999999,0.000999999999999987,0.009999999999999995
1984,AK,0.099,-0.001999999999999988,0.0040000000000000036
1985,AK,0.099,0.0,0.007000000000000006
1986,AK,0.111,0.011999999999999997,0.010999999999999996
1987,AK,0.102,-0.009000000000000008,0.0010000000000000009
1988,AK,0.087,-0.015,-0.01200000000000001
1989,AK,0.071,-0.016,-0.02800000000000001
1990,AK,0.073,0.0020000000000000018,-0.038000000000000006
1991,AK,0.083,0.010000000000000009,-0.01899999999999999
1992,AK,0.08900000000000001,0.006000000000000005,0.0020000000000000157
1993,AK,0.078,-0.01100000000000001,0.007000000000000006
1994,AK,0.076,-0.0020000000000000018,0.0030000000000000027
1995,AK,0.073,-0.0030000000000000027,-0.010000000000000009
1996,AK,0.07400000000000001,0.0010000000000000148,-0.015
1997,AK,0.069,-0.0050000000000000044,-0.008999999999999994
1998,AK,0.063,-0.006000000000000005,-0.012999999999999998
1999,AK,0.064,0.0010000000000000009,-0.008999999999999994
2000,AK,0.063,-0.0010000000000000009,-0.01100000000000001
2001,AK,0.063,0.0,-0.006000000000000005
2002,AK,0.07200000000000001,0.009000000000000008,0.009000000000000008
2003,AK,0.077,0.0049999999999999906,0.012999999999999998
2004,AK,0.07400000000000001,-0.002999999999999989,0.01100000000000001
2005,AK,0.069,-0.0050000000000000044,0.006000000000000005
2006,AK,0.066,-0.0030000000000000027,-0.006000000000000005
2007,AK,0.063,-0.0030000000000000027,-0.013999999999999999
2008,AK,0.065,0.0020000000000000018,-0.009000000000000008
2009,AK,0.08,0.015,0.010999999999999996
2010,AK,0.08199999999999999,0.001999999999999988,0.015999999999999986
2011,AK,0.078,-0.00399999999999999,0.015
2012,AK,0.07200000000000001,-0.0059999999999999915,0.007000000000000006
2013,AK,0.07,-0.0020000000000000018,-0.009999999999999995
2014,AK,0.067,-0.0030000000000000027,-0.014999999999999986
2015,AK,0.063,-0.0040000000000000036,-0.015
2016,AK,0.066,0.0030000000000000027,-0.006000000000000005
2017,AK,0.065,-0.0010000000000000009,-0.0050000000000000044
2018,AK,0.06,-0.0050000000000000044,-0.007000000000000006
2019,AK,0.055999999999999994,-0.0040000000000000036,-0.007000000000000006
2020,AK,0.083,0.02700000000000001,0.017
2021,AK,0.064,-0.019000000000000003,-0.0010000000000000009
2022,AK,0.042,-0.022,-0.017999999999999995
2023,AK,0.042,0.0,-0.013999999999999992
1976,AZ,0.098,0.056,0.015
1977,AZ,0.084,-0.013999999999999999,0.020000000000000004
1978,AZ,0.059000000000000004,-0.025,0.017
1979,AZ,0.051,-0.008000000000000007,0.008999999999999994
1980,AZ,0.066,0.015000000000000006,-0.032
1981,AZ,0.062,-0.0040000000000000036,-0.022000000000000006
1982,AZ,0.1,0.038000000000000006,0.041
1983,AZ,0.091,-0.009000000000000008,0.04
1984,AZ,0.05,-0.040999999999999995,-0.016
1985,AZ,0.064,0.013999999999999999,0.0020000000000000018
1986,AZ,0.07,0.006000000000000005,-0.03
1987,AZ,0.065,-0.0050000000000000044,-0.025999999999999995
1988,AZ,0.064,-0.0010000000000000009,0.013999999999999999
1989,AZ,0.052000000000000005,-0.011999999999999997,-0.011999999999999997
1990,AZ,0.052000000000000005,0.0,-0.018000000000000002
1991,AZ,0.057999999999999996,0.0059999999999999915,-0.007000000000000006
1992,AZ,0.076,0.018000000000000002,0.011999999999999997
1993,AZ,0.064,-0.011999999999999997,0.011999999999999997
1994,AZ,0.062,-0.0020000000000000018,0.009999999999999995
1995,AZ,0.053,-0.009000000000000001,-0.0049999999999999975
1996,AZ,0.055,0.0020000000000000018,-0.020999999999999998
1997,AZ,0.046,-0.009000000000000001,-0.018000000000000002
1998,AZ,0.043,-0.0030000000000000027,-0.019000000000000003
1999,AZ,0.045,0.0020000000000000018,-0.008
2000,AZ,0.04,-0.0049999999999999975,-0.015
2001,AZ,0.047,0.006999999999999999,0.0010000000000000009
2002,AZ,0.062,0.015,0.019000000000000003
2003,AZ,0.057999999999999996,-0.0040000000000000036,0.012999999999999998
2004,AZ,0.05,-0.007999999999999993,0.010000000000000002
2005,AZ,0.047,-0.0030000000000000027,0.0
2006,AZ,0.043,-0.0040000000000000036,-0.019000000000000003
2007,AZ,0.038,-0.0049999999999999975,-0.019999999999999997
2008,AZ,0.057999999999999996,0.019999999999999997,0.007999999999999993
2009,AZ,0.09699999999999999,0.03899999999999999,0.04999999999999999
