year,state,household_income_1,household_income_4
1984,AL,,
1985,AL,0.024173318129988575,
1986,AL,0.026720106880427474,
1987,AL,-0.0021687269572761014,
1988,AL,-0.025211910454249087,0.022805017103762815
1989,AL,0.022073578595317667,0.020708082832331387
1990,AL,0.04646596858638752,0.040338321405335
1991,AL,0.00583698144673761,0.0486850684633775
1992,AL,0.03378238341968909,0.1121516164994425
1993,AL,-0.05152365677626303,0.032068062827225186
1994,AL,0.061086451067427605,0.04648738795080254
1995,AL,-0.06653386454183263,-0.028808290155440397
1996,AL,0.13593683311993177,0.0671611868484363
1997,AL,0.031936877700544875,0.16106531388712741
1998,AL,0.12015292190060078,0.22569721115537855
1999,AL,-0.020640338046481355,0.28595817328211703
2000,AL,-0.055426485230667066,0.06932181100882961
2001,AL,-0.02933942375263532,0.005825596213362427
2002,AL,0.05628959276018097,-0.0515195839427921
2003,AL,-0.029472241261137788,-0.060073016926651124
2004,AL,-0.040783898305084776,-0.045502459592410394
2005,AL,-0.014356709000552192,-0.03076923076923077
2006,AL,-0.00709617180205413,-0.08893077450308429
2007,AL,0.08444611623095732,0.018008474576271194
2008,AL,0.016302462712452392,0.07859377875943308
2009,AL,-0.09744027303754266,-0.012324929971988752
2010,AL,0.010020797882397403,0.004701899567425283
2011,AL,0.008985398727068494,-0.06520985084980924
2012,AL,0.0012987012987013546,-0.07901023890784986
2013,AL,0.07559755419677594,0.09756097560975618
2014,AL,-0.1190353143841516,-0.0426806439535754
2015,AL,0.05357841220179904,-0.00037105751391464104
2016,AL,0.05159613956941356,0.04984250509542343
2017,AL,0.058595128838687005,0.033247200689061174
2018,AL,-0.037679226408802946,0.1286664059444662
2019,AL,0.10897435897435903,0.1880103934669637
2020,AL,-0.036869239181377855,0.08806918460995417
2021,AL,-0.004217356042173548,0.023507835945315136
2022,AL,-0.024108160938263512,0.03794178794178804
1984,AK,,
1985,AK,0.03952665609369288,
1986,AK,-0.11301490435394912,
1987,AK,0.025138925641704057,
1988,AK,-0.03936499741868871,-0.09198487251433451
1989,AK,0.041918581217251116,-0.08989555216523881
1990,AK,0.04074790457769173,0.06787509923260115
1991,AK,-0.0027258084500061397,0.03884873515746001
1992,AK,0.00372717107715248,0.08544941555824259
1993,AK,0.002227998514667595,0.044100580270793
1994,AK,0.034210201309126775,0.03754181637963083
1995,AK,0.03260090757105316,0.07429494347123877
1996,AK,0.0722794032612466,0.14766679044436182
1997,AK,-0.10979292493528903,0.019389897492898545
1998,AK,0.04204022292221943,0.02710771435395265
1999,AK,-0.006743401930008108,-0.012027292702671444
2000,AK,-0.005969799836123113,-0.08412424503882654
2001,AK,0.061469618464437215,0.09207656893627325
2002,AK,-0.09130241846017306,-0.047668875712126524
2003,AK,-0.03784641679892564,-0.07749034297085333
2004,AK,0.03628981093769834,-0.038271314178049964
2005,AK,-0.013468838006612027,-0.10616818282671403
2006,AK,-0.019113814074717683,-0.035160542058356725
2007,AK,0.08870049348348719,0.09173962695089455
2008,AK,-0.02010692701069272,0.03232521121586873
2009,AK,-0.03344798956232953,0.01141864217450661
2010,AK,-0.07362866609399932,-0.044793116538023536
2011,AK,-0.03709100543118293,-0.15516039051603903
2012,AK,0.08721970009629931,-0.06262602301031905
2013,AK,0.12501581677843854,0.09105411706957911
2014,AK,-0.0799685074794736,0.08358723009670155
2015,AK,0.11149144254278731,0.2507910304030816
2016,AK,-0.0006599208095028342,0.14968999114260417
2017,AK,0.012106537530266248,0.03430435271622989
2018,AK,-0.13603740756850802,-0.028728606356968167
2019,AK,0.12385147891755821,-0.017927848658160994
2020,AK,-0.05633329600179193,-0.07263922518159804
2021,AK,0.03833372893425113,-0.04860809047411918
2022,AK,0.025717224825694274,0.12951541850220272
1984,AZ,,
1985,AZ,0.07794361525704807,
1986,AZ,0.050598290598290685,
1987,AZ,0.014643670680117182,
1988,AZ,-0.046985246953175075,0.09508015478164733
1989,AZ,0.034662628302204235,0.05111111111111111
1990,AZ,-0.023906326231907582,-0.023429873088187447
1991,AZ,0.01499500166611134,-0.02309172546504168
1992,AZ,-0.06861457649376235,-0.04526333501598523
1993,AZ,0.014099400775467119,-0.06423808749390147
1994,AZ,0.003823427181091521,-0.0376541152949017
1995,AZ,-0.03653047091412742,-0.08650689428759029
1996,AZ,-0.0012578616352201255,-0.020444131124427223
1997,AZ,0.013134220942785158,-0.02137643378519294
1998,AZ,0.1175634878351981,0.0895083102493075
1999,AZ,-0.022723661210869217,0.10512129380053903
2000,AZ,0.039512195121951255,0.15023389708528256
2001,AZ,0.04974190520882216,0.19179541822056478
2002,AZ,-0.08106094471762781,-0.020022246941045596
2003,AZ,0.014918112534457517,0.017723577235772447
2004,AZ,0.03914363316823777,0.017362740497419038
2005,AZ,0.002767527675276771,-0.0281627179257935
2006,AZ,0.002146580803434439,0.059834603534943964
2007,AZ,-0.013310893512851862,0.030356286946796596
2008,AZ,-0.04155683051635917,-0.04966174661746614
2009,AZ,-0.021032195437631462,-0.07221711131554742
2010,AZ,0.011403073872087166,-0.06364749082007348
2011,AZ,0.005555555555555536,-0.04574352612808186
2012,AZ,-0.05086122846928831,-0.05500728037534375
2013,AZ,0.10494778291388451,0.06660056189059649
2014,AZ,-0.07685156492097922,-0.026470588235294135
2015,AZ,0.06159785162806308,0.02778680532986666
2016,AZ,0.08316205533596843,0.17291559664441025
2017,AZ,0.027441249452634597,0.09064146265881634
2018,AZ,0.022730501491689203,0.20829137294394084
2019,AZ,0.1182108626198084,0.2727272727272727
2020,AZ,-0.060621118012422315,0.10378047000437896
2021,AZ,0.009918011108172475,0.08495524932518816
2022,AZ,-0.03823490899567894,0.020280594527017692
1984,AR,,
1985,AR,0.07655502392344493,
1986,AR,0.056140350877192935,
1987,AR,-0.027906976744186074,
1988,AR,0.033264980633401775,0.14202971543691767
1989,AR,0.01786108048511581,0.07976608187134504
1990,AR,0.013864818024263537,0.03654485049833878
1991,AR,-0.007478632478632452,0.05832763727500567
1992,AR,-0.006243272335844985,0.01786108048511581
1993,AR,-0.05870883882149047,-0.05870883882149047
1994,AR,0.08607594936708862,0.008333333333333304
1995,AR,-0.013562195380377173,0.0021528525296017342
1996,AR,0.023630504833512367,0.032279029462738196
1997,AR,-0.05582371458551938,0.03544303797468351
