Race,Race Code,States,States Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Ethnicity,Ethnicity Code,Population
American Indian or Alaska Native,1002-5,Alabama,01,2010,2010,Hispanic or Latino,2135-2,6746
American Indian or Alaska Native,1002-5,Alabama,01,2010,2010,Not Hispanic or Latino,2186-5,26120
American Indian or Alaska Native,1002-5,Alabama,01,2011,2011,Hispanic or Latino,2135-2,6581
American Indian or Alaska Native,1002-5,Alabama,01,2011,2011,Not Hispanic or Latino,2186-5,26147
American Indian or Alaska Native,1002-5,Alabama,01,2012,2012,Hispanic or Latino,2135-2,6555
American Indian or Alaska Native,1002-5,Alabama,01,2012,2012,Not Hispanic or Latino,2186-5,26225
American Indian or Alaska Native,1002-5,Alabama,01,2013,2013,Hispanic or Latino,2135-2,6418
American Indian or Alaska Native,1002-5,Alabama,01,2013,2013,Not Hispanic or Latino,2186-5,26358
American Indian or Alaska Native,1002-5,Alabama,01,2014,2014,Hispanic or Latino,2135-2,6371
American Indian or Alaska Native,1002-5,Alabama,01,2014,2014,Not Hispanic or Latino,2186-5,26553
American Indian or Alaska Native,1002-5,Alabama,01,2015,2015,Hispanic or Latino,2135-2,6426
American Indian or Alaska Native,1002-5,Alabama,01,2015,2015,Not Hispanic or Latino,2186-5,26694
American Indian or Alaska Native,1002-5,Alabama,01,2016,2016,Hispanic or Latino,2135-2,6624
American Indian or Alaska Native,1002-5,Alabama,01,2016,2016,Not Hispanic or Latino,2186-5,26737
American Indian or Alaska Native,1002-5,Alabama,01,2017,2017,Hispanic or Latino,2135-2,6721
American Indian or Alaska Native,1002-5,Alabama,01,2017,2017,Not Hispanic or Latino,2186-5,26823
American Indian or Alaska Native,1002-5,Alabama,01,2018,2018,Hispanic or Latino,2135-2,6925
American Indian or Alaska Native,1002-5,Alabama,01,2018,2018,Not Hispanic or Latino,2186-5,26913
American Indian or Alaska Native,1002-5,Alabama,01,2019,2019,Hispanic or Latino,2135-2,7136
American Indian or Alaska Native,1002-5,Alabama,01,2019,2019,Not Hispanic or Latino,2186-5,27167
American Indian or Alaska Native,1002-5,Alabama,01,2020,2020,Hispanic or Latino,2135-2,7406
American Indian or Alaska Native,1002-5,Alabama,01,2020,2020,Not Hispanic or Latino,2186-5,27491
