States,States Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Race,Race Code,Population
Alabama,01,2022,2022,American Indian or Alaska Native,1002-5,36325
Alabama,01,2022,2022,Asian,A,80615
Alabama,01,2022,2022,Black or African American,2054-5,1358620
Alabama,01,2022,2022,Native Hawaiian or Other Pacific Islander,NHOPI,5556
Alabama,01,2022,2022,White,2106-3,3494189
Alabama,01,2022,2022,More than one race,M,98991
Alaska,02,2022,2022,American Indian or Alaska Native,1002-5,115194
Alaska,02,2022,2022,Asian,A,49365
Alaska,02,2022,2022,Black or African American,2054-5,26837
Alaska,02,2022,2022,Native Hawaiian or Other Pacific Islander,NHOPI,12269
Alaska,02,2022,2022,White,2106-3,470101
Alaska,02,2022,2022,More than one race,M,59817
Arizona,04,2022,2022,American Indian or Alaska Native,1002-5,379712
Arizona,04,2022,2022,Asian,A,289336
Arizona,04,2022,2022,Black or African American,2054-5,407994
Arizona,04,2022,2022,Native Hawaiian or Other Pacific Islander,NHOPI,21465
Arizona,04,2022,2022,White,2106-3,6024591
Arizona,04,2022,2022,More than one race,M,236099
Arkansas,05,2022,2022,American Indian or Alaska Native,1002-5,33266
Arkansas,05,2022,2022,Asian,A,56221
Arkansas,05,2022,2022,Black or African American,2054-5,476278
Arkansas,05,2022,2022,Native Hawaiian or Other Pacific Islander,NHOPI,14365
Arkansas,05,2022,2022,White,2106-3,2391860
Arkansas,05,2022,2022,More than one race,M,73647
California,06,2022,2022,American Indian or Alaska Native,1002-5,672768
California,06,2022,2022,Asian,A,6347727
California,06,2022,2022,Black or African American,2054-5,2531957
California,06,2022,2022,Native Hawaiian or Other Pacific Islander,NHOPI,203788
California,06,2022,2022,White,2106-3,27607325
California,06,2022,2022,More than one race,M,1665777
Colorado,08,2022,2022,American Indian or Alaska Native,1002-5,97828
Colorado,08,2022,2022,Asian,A,219273
Colorado,08,2022,2022,Black or African American,2054-5,276966
Colorado,08,2022,2022,Native Hawaiian or Other Pacific Islander,NHOPI,13003
Colorado,08,2022,2022,White,2106-3,5032844
Colorado,08,2022,2022,More than one race,M,200012
Connecticut,09,2022,2022,American Indian or Alaska Native,1002-5,26709
Connecticut,09,2022,2022,Asian,A,187571
Connecticut,09,2022,2022,Black or African American,2054-5,467161
Connecticut,09,2022,2022,Native Hawaiian or Other Pacific Islander,NHOPI,4154
Connecticut,09,2022,2022,White,2106-3,2841487
Connecticut,09,2022,2022,More than one race,M,99123
Delaware,10,2022,2022,American Indian or Alaska Native,1002-5,7176
Delaware,10,2022,2022,Asian,A,44490
Delaware,10,2022,2022,Black or African American,2054-5,242210
Delaware,10,2022,2022,Native Hawaiian or Other Pacific Islander,NHOPI,1173
Delaware,10,2022,2022,White,2106-3,692506
Delaware,10,2022,2022,More than one race,M,30841
District of Columbia,11,2022,2022,American Indian or Alaska Native,1002-5,4688
District of Columbia,11,2022,2022,Asian,A,31360
District of Columbia,11,2022,2022,Black or African American,2054-5,302568
District of Columbia,11,2022,2022,Native Hawaiian or Other Pacific Islander,NHOPI,1127
District of Columbia,11,2022,2022,White,2106-3,310692
District of Columbia,11,2022,2022,More than one race,M,21368
Florida,12,2022,2022,American Indian or Alaska Native,1002-5,122012
Florida,12,2022,2022,Asian,A,697294
Florida,12,2022,2022,Black or African American,2054-5,3773336
Florida,12,2022,2022,Native Hawaiian or Other Pacific Islander,NHOPI,28081
Florida,12,2022,2022,White,2106-3,17084651
Florida,12,2022,2022,More than one race,M,539449
Georgia,13,2022,2022,American Indian or Alaska Native,1002-5,60396
Georgia,13,2022,2022,Asian,A,520964
Georgia,13,2022,2022,Black or African American,2054-5,3613543
Georgia,13,2022,2022,Native Hawaiian or Other Pacific Islander,NHOPI,14944
Georgia,13,2022,2022,White,2106-3,6436683
Georgia,13,2022,2022,More than one race,M,266346
Hawaii,15,2022,2022,American Indian or Alaska Native,1002-5,5730
Hawaii,15,2022,2022,Asian,A,534794
Hawaii,15,2022,2022,Black or African American,2054-5,31516
Hawaii,15,2022,2022,Native Hawaiian or Other Pacific Islander,NHOPI,148844
Hawaii,15,2022,2022,White,2106-3,363260
Hawaii,15,2022,2022,More than one race,M,356052
Idaho,16,2022,2022,American Indian or Alaska Native,1002-5,33188
Idaho,16,2022,2022,Asian,A,32203
Idaho,16,2022,2022,Black or African American,2054-5,18882
Idaho,16,2022,2022,Native Hawaiian or Other Pacific Islander,NHOPI,4540
Idaho,16,2022,2022,White,2106-3,1795997
Idaho,16,2022,2022,More than one race,M,54223
Illinois,17,2022,2022,American Indian or Alaska Native,1002-5,79326
Illinois,17,2022,2022,Asian,A,787633
Illinois,17,2022,2022,Black or African American,2054-5,1851472
Illinois,17,2022,2022,Native Hawaiian or Other Pacific Islander,NHOPI,8599
Illinois,17,2022,2022,White,2106-3,9572606
Illinois,17,2022,2022,More than one race,M,282396
Indiana,18,2022,2022,American Indian or Alaska Native,1002-5,30332
Indiana,18,2022,2022,Asian,A,192821
Indiana,18,2022,2022,Black or African American,2054-5,704235
Indiana,18,2022,2022,Native Hawaiian or Other Pacific Islander,NHOPI,5162
Indiana,18,2022,2022,White,2106-3,5736944
Indiana,18,2022,2022,More than one race,M,163543
Iowa,19,2022,2022,American Indian or Alaska Native,1002-5,18984
Iowa,19,2022,2022,Asian,A,88649
Iowa,19,2022,2022,Black or African American,2054-5,141178
Iowa,19,2022,2022,Native Hawaiian or Other Pacific Islander,NHOPI,7382
Iowa,19,2022,2022,White,2106-3,2874863
Iowa,19,2022,2022,More than one race,M,69461
Kansas,20,2022,2022,American Indian or Alaska Native,1002-5,36176
Kansas,20,2022,2022,Asian,A,94616
Kansas,20,2022,2022,Black or African American,2054-5,182656
Kansas,20,2022,2022,Native Hawaiian or Other Pacific Islander,NHOPI,4446
Kansas,20,2022,2022,White,2106-3,2521658
Kansas,20,2022,2022,More than one race,M,97598
Kentucky,21,2022,2022,American Indian or Alaska Native,1002-5,14509
Kentucky,21,2022,2022,Asian,A,79374
Kentucky,21,2022,2022,Black or African American,2054-5,391006
Kentucky,21,2022,2022,Native Hawaiian or Other Pacific Islander,NHOPI,5260
Kentucky,21,2022,2022,White,2106-3,3920114
Kentucky,21,2022,2022,More than one race,M,102047
Louisiana,22,2022,2022,American Indian or Alaska Native,1002-5,38096
Louisiana,22,2022,2022,Asian,A,88314
Louisiana,22,2022,2022,Black or African American,2054-5,1504750
Louisiana,22,2022,2022,Native Hawaiian or Other Pacific Islander,NHOPI,3020
Louisiana,22,2022,2022,White,2106-3,2868945
Louisiana,22,2022,2022,More than one race,M,87116
Maine,23,2022,2022,American Indian or Alaska Native,1002-5,9786
Maine,23,2022,2022,Asian,A,19143
Maine,23,2022,2022,Black or African American,2054-5,27405
Maine,23,2022,2022,Native Hawaiian or Other Pacific Islander,NHOPI,561
Maine,23,2022,2022,White,2106-3,1301207
Maine,23,2022,2022,More than one race,M,27238
Maryland,24,2022,2022,American Indian or Alaska Native,1002-5,43339
Maryland,24,2022,2022,Asian,A,435183
Maryland,24,2022,2022,Black or African American,2054-5,1951658
Maryland,24,2022,2022,Native Hawaiian or Other Pacific Islander,NHOPI,7647
Maryland,24,2022,2022,White,2106-3,3530719
Maryland,24,2022,2022,More than one race,M,196114
Massachusetts,25,2022,2022,American Indian or Alaska Native,1002-5,36928
Massachusetts,25,2022,2022,Asian,A,538245
Massachusetts,25,2022,2022,Black or African American,2054-5,660810
Massachusetts,25,2022,2022,Native Hawaiian or Other Pacific Islander,NHOPI,7789
Massachusetts,25,2022,2022,White,2106-3,5546349
Massachusetts,25,2022,2022,More than one race,M,191853
Michigan,26,2022,2022,American Indian or Alaska Native,1002-5,74397
Michigan,26,2022,2022,Asian,A,352444
Michigan,26,2022,2022,Black or African American,2054-5,1418343
Michigan,26,2022,2022,Native Hawaiian or Other Pacific Islander,NHOPI,4702
Michigan,26,2022,2022,White,2106-3,7906333
